day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,Screen Relative Humidity,57,%,Humidity,57 %,Sun,11th,Jun
0,Precipitation Probability,42,%,Rain ,42 %,Sun,11th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,11th,Jun
0,Temperature,25,C, Temp,25°C,Sun,11th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,11th,Jun
0,Weather Type,10,,Weather Type ,10 ,Sun,11th,Jun
0,Max UV Index,4,,Max UV,4 ,Sun,11th,Jun
0,timestamp,2023-06-11 18:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sun,11th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Sun,11th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Sun,11th,Jun
0,Screen Relative Humidity,73,%,Humidity,73 %,Sun,11th,Jun
0,Precipitation Probability,51,%,Rain ,51 %,Sun,11th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sun,11th,Jun
0,Temperature,22,C, Temp,22°C,Sun,11th,Jun
0,Visibility,GO,,Visibility ,GO ,Sun,11th,Jun
0,Weather Type,14,,Weather Type ,14 ,Sun,11th,Jun
0,Max UV Index,1,,Max UV,1 ,Sun,11th,Jun
0,timestamp,2023-06-11 21:00:00,,timestamp ,Sun 11th Jun,Sun,11th,Jun
0,Wind Direction,NNE,compass, Wind Direction,NNE,Sun,11th,Jun
0,Feels Like Temperature,20,C, Feels ,20°C,Sun,11th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Sun,11th,Jun
0,Screen Relative Humidity,83,%,Humidity,83 %,Sun,11th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Sun,11th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sun,11th,Jun
0,Temperature,19,C, Temp,19°C,Sun,11th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,11th,Jun
0,Weather Type,2,,Weather Type ,2 ,Sun,11th,Jun
0,Max UV Index,0,,Max UV,0 ,Sun,11th,Jun
0,timestamp,2023-06-12 00:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,NE,compass, Wind Direction,NE,Mon,12th,Jun
0,Feels Like Temperature,18,C, Feels ,18°C,Mon,12th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Mon,12th,Jun
0,Screen Relative Humidity,87,%,Humidity,87 %,Mon,12th,Jun
0,Precipitation Probability,3,%,Rain ,3 %,Mon,12th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Mon,12th,Jun
0,Temperature,18,C, Temp,18°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,2,,Weather Type ,2 ,Mon,12th,Jun
0,Max UV Index,0,,Max UV,0 ,Mon,12th,Jun
0,timestamp,2023-06-12 03:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,NE,compass, Wind Direction,NE,Mon,12th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Mon,12th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Mon,12th,Jun
0,Screen Relative Humidity,91,%,Humidity,91 %,Mon,12th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Mon,12th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Mon,12th,Jun
0,Temperature,16,C, Temp,16°C,Mon,12th,Jun
0,Visibility,GO,,Visibility ,GO ,Mon,12th,Jun
0,Weather Type,0,,Weather Type ,0 ,Mon,12th,Jun
0,Max UV Index,0,,Max UV,0 ,Mon,12th,Jun
0,timestamp,2023-06-12 06:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,NE,compass, Wind Direction,NE,Mon,12th,Jun
0,Feels Like Temperature,17,C, Feels ,17°C,Mon,12th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Mon,12th,Jun
0,Screen Relative Humidity,87,%,Humidity,87 %,Mon,12th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Mon,12th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Mon,12th,Jun
0,Temperature,17,C, Temp,17°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,1,,Weather Type ,1 ,Mon,12th,Jun
0,Max UV Index,1,,Max UV,1 ,Mon,12th,Jun
0,timestamp,2023-06-12 09:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,NE,compass, Wind Direction,NE,Mon,12th,Jun
0,Feels Like Temperature,22,C, Feels ,22°C,Mon,12th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Mon,12th,Jun
0,Screen Relative Humidity,70,%,Humidity,70 %,Mon,12th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Mon,12th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Mon,12th,Jun
0,Temperature,22,C, Temp,22°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,1,,Weather Type ,1 ,Mon,12th,Jun
0,Max UV Index,5,,Max UV,5 ,Mon,12th,Jun
0,timestamp,2023-06-12 12:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Mon,12th,Jun
0,Feels Like Temperature,25,C, Feels ,25°C,Mon,12th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Mon,12th,Jun
0,Screen Relative Humidity,56,%,Humidity,56 %,Mon,12th,Jun
0,Precipitation Probability,5,%,Rain ,5 %,Mon,12th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Mon,12th,Jun
0,Temperature,25,C, Temp,25°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,3,,Weather Type ,3 ,Mon,12th,Jun
0,Max UV Index,7,,Max UV,7 ,Mon,12th,Jun
0,timestamp,2023-06-12 15:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Mon,12th,Jun
0,Feels Like Temperature,25,C, Feels ,25°C,Mon,12th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Mon,12th,Jun
0,Screen Relative Humidity,49,%,Humidity,49 %,Mon,12th,Jun
0,Precipitation Probability,11,%,Rain ,11 %,Mon,12th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Mon,12th,Jun
0,Temperature,26,C, Temp,26°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,3,,Weather Type ,3 ,Mon,12th,Jun
0,Max UV Index,4,,Max UV,4 ,Mon,12th,Jun
0,timestamp,2023-06-12 18:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Mon,12th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Mon,12th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Mon,12th,Jun
0,Screen Relative Humidity,66,%,Humidity,66 %,Mon,12th,Jun
0,Precipitation Probability,30,%,Rain ,30 %,Mon,12th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Mon,12th,Jun
0,Temperature,23,C, Temp,23°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,10,,Weather Type ,10 ,Mon,12th,Jun
0,Max UV Index,1,,Max UV,1 ,Mon,12th,Jun
0,timestamp,2023-06-12 21:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,NE,compass, Wind Direction,NE,Mon,12th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Mon,12th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Mon,12th,Jun
0,Screen Relative Humidity,72,%,Humidity,72 %,Mon,12th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Mon,12th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Mon,12th,Jun
0,Temperature,20,C, Temp,20°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,2,,Weather Type ,2 ,Mon,12th,Jun
0,Max UV Index,0,,Max UV,0 ,Mon,12th,Jun
0,timestamp,2023-06-13 00:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Tue,13th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Tue,13th,Jun
0,Screen Relative Humidity,77,%,Humidity,77 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,17,C, Temp,17°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,0,,Weather Type ,0 ,Tue,13th,Jun
0,Max UV Index,0,,Max UV,0 ,Tue,13th,Jun
0,timestamp,2023-06-13 03:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,14,C, Feels ,14°C,Tue,13th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Tue,13th,Jun
0,Screen Relative Humidity,82,%,Humidity,82 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,14,C, Temp,14°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,0,,Weather Type ,0 ,Tue,13th,Jun
0,Max UV Index,0,,Max UV,0 ,Tue,13th,Jun
0,timestamp,2023-06-13 06:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Tue,13th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Tue,13th,Jun
0,Screen Relative Humidity,77,%,Humidity,77 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,16,C, Temp,16°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,1,,Max UV,1 ,Tue,13th,Jun
0,timestamp,2023-06-13 09:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,20,C, Feels ,20°C,Tue,13th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Tue,13th,Jun
0,Screen Relative Humidity,62,%,Humidity,62 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,21,C, Temp,21°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,5,,Max UV,5 ,Tue,13th,Jun
0,timestamp,2023-06-13 12:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Tue,13th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Tue,13th,Jun
0,Wind Gust,22,mph,Wind Gust,22 mph,Tue,13th,Jun
0,Screen Relative Humidity,46,%,Humidity,46 %,Tue,13th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Tue,13th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Tue,13th,Jun
0,Temperature,25,C, Temp,25°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,8,,Max UV,8 ,Tue,13th,Jun
0,timestamp,2023-06-13 15:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Tue,13th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Tue,13th,Jun
0,Wind Gust,20,mph,Wind Gust,20 mph,Tue,13th,Jun
0,Screen Relative Humidity,40,%,Humidity,40 %,Tue,13th,Jun
0,Precipitation Probability,3,%,Rain ,3 %,Tue,13th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Tue,13th,Jun
0,Temperature,26,C, Temp,26°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,5,,Max UV,5 ,Tue,13th,Jun
0,timestamp,2023-06-13 18:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,22,C, Feels ,22°C,Tue,13th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Tue,13th,Jun
0,Screen Relative Humidity,45,%,Humidity,45 %,Tue,13th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Tue,13th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Tue,13th,Jun
0,Temperature,24,C, Temp,24°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,1,,Max UV,1 ,Tue,13th,Jun
0,timestamp,2023-06-13 21:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,17,C, Feels ,17°C,Tue,13th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Tue,13th,Jun
0,Screen Relative Humidity,57,%,Humidity,57 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Tue,13th,Jun
0,Temperature,19,C, Temp,19°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,0,,Weather Type ,0 ,Tue,13th,Jun
0,Max UV Index,0,,Max UV,0 ,Tue,13th,Jun
